MonDay,Area,City,WeatherConDay,WindDirDay,WindSpdDay,MaxTmp,WeatherConNight,WindDirNight,WindSpdNight,MinTmp
6月20日,华北,阿拉善盟,晴,东南风,4-5级,32,晴,西北风,4-5级,19
6月21日,华北,北京,晴,南风,3-4级,35,晴,南风,<3级,25
6月21日,华北,海淀,晴,南风,4-5级,36,晴,南风,3-4级,24
6月21日,华北,朝阳,晴,南风,3-4级,35,晴,南风,3-4级,25
6月21日,华北,顺义,晴,南风,3-4级,36,晴,南风,<3级,24
6月21日,华北,怀柔,晴,南风,3-4级,36,晴,南风,<3级,22
6月21日,华北,通州,晴,南风,3-4级,35,晴,南风,<3级,22
6月21日,华北,昌平,晴,南风,3-4级,36,晴,东南风,<3级,24
6月21日,华北,延庆,晴,东南风,3-4级,33,晴,东南风,<3级,21
6月21日,华北,丰台,晴,南风,4-5级,36,晴,西南风,3-4级,25
6月21日,华北,石景山,晴,南风,3-4级,35,晴,南风,<3级,24
6月21日,华北,大兴,晴,南风,3-4级,36,晴,西南风,3-4级,24
6月21日,华北,房山,晴,南风,3-4级,35,晴,西南风,3-4级,24
6月21日,华北,密云,晴,南风,3-4级,35,晴,南风,<3级,22
6月21日,华北,门头沟,晴,南风,3-4级,35,晴,南风,<3级,24
6月21日,华北,平谷,晴,南风,3-4级,35,晴,东南风,<3级,22
6月21日,华北,东城,晴,南风,3-4级,35,晴,南风,3-4级,25
6月21日,华北,西城,晴,南风,4-5级,36,晴,南风,3-4级,24
6月21日,华北,天津,晴,南风,3-4级,35,晴,西南风,<3级,26
6月21日,华北,武清,晴,南风,3-4级,35,晴,南风,<3级,23
6月21日,华北,宝坻,晴,南风,3-4级,35,晴,南风,<3级,24
6月21日,华北,东丽,晴,东南风,3-4级,35,晴,西南风,<3级,25
6月21日,华北,西青,晴,南风,3-4级,35,晴,西南风,<3级,26
6月21日,华北,北辰,晴,南风,3-4级,35,晴,西南风,3-4级,24
6月21日,华北,宁河,晴,东南风,3-4级,32,晴,南风,<3级,23
6月21日,华北,和平,晴,南风,3-4级,35,晴,西南风,<3级,26
6月21日,华北,静海,晴,南风,3-4级,35,晴,西南风,<3级,24
6月21日,华北,津南,晴,东南风,3-4级,33,晴,西南风,<3级,24
6月21日,华北,滨海新区,晴,东南风,4-5级,33,晴,南风,3-4级,23
6月21日,华北,河东,晴,南风,3-4级,35,晴,西南风,<3级,26
6月21日,华北,河西,晴,南风,3-4级,35,晴,西南风,<3级,26
6月21日,华北,蓟州,晴,南风,3-4级,34,晴,东风,<3级,23
6月21日,华北,南开,晴,南风,3-4级,35,晴,西南风,<3级,26
6月21日,华北,河北,晴,南风,3-4级,35,晴,西南风,<3级,26
6月21日,华北,红桥,晴,南风,3-4级,35,晴,西南风,<3级,26
6月21日,华北,石家庄,多云,南风,3-4级,35,多云,北风,<3级,24
6月21日,华北,保定,晴,南风,3-4级,35,多云,南风,<3级,22
6月21日,华北,张家口,多云,东南风,<3级,34,多云,东南风,<3级,21
6月21日,华北,承德,多云,无持续风向,<3级,34,多云,无持续风向,<3级,19
6月21日,华北,唐山,晴,西南风,3-4级,35,晴,南风,<3级,22
6月21日,华北,廊坊,晴,西南风,3-4级,36,多云,西南风,<3级,24
6月21日,华北,沧州,多云,西南风,3-4级,35,多云,西南风,3-4级,23
6月21日,华北,衡水,多云,南风,<3级,35,多云,南风,<3级,23
6月21日,华北,邢台,晴,南风,3-4级,32,晴,南风,3-4级,22
6月21日,华北,邯郸,多云,南风,3-4级,29,多云,南风,<3级,20
6月21日,华北,秦皇岛,晴,西南风,4-5级,30,晴,无持续风向,<3级,19
6月21日,华北,雄安新区,晴,南风,<3级,36,晴,南风,<3级,24
6月21日,华北,太原,阴,东南风,<3级,33,多云,南风,<3级,17
6月21日,华北,大同,多云,南风,3-4级,32,多云,南风,<3级,17
6月21日,华北,阳泉,阴,东风,3-4级,33,多云,东南风,<3级,17
6月21日,华北,晋中,阴,东南风,3-4级,33,多云,南风,<3级,17
6月21日,华北,长治,多云,南风,3-4级,28,多云,东南风,<3级,17
6月21日,华北,晋城,小雨,东南风,3-4级,28,小雨,南风,<3级,18
6月21日,华北,临汾,多云,东南风,<3级,31,多云,南风,<3级,22
6月21日,华北,运城,多云,东南风,3-4级,28,阴,东南风,<3级,19
6月21日,华北,朔州,多云,南风,3-4级,33,多云,南风,<3级,17
6月21日,华北,忻州,阴,东南风,3-4级,32,阴,东南风,<3级,16
6月21日,华北,吕梁,多云,南风,<3级,32,多云,南风,<3级,19
6月21日,华北,呼和浩特,多云,西南风,<3级,33,阴,西南风,3-4级,19
6月21日,华北,包头,多云,南风,3-4级,34,阴,西南风,<3级,21
6月21日,华北,乌海,多云,南风,3-4级,33,小雨,西南风,3-4级,21
6月21日,华北,乌兰察布,晴,南风,3-4级,30,多云,南风,3-4级,16
6月21日,华北,通辽,多云,南风,3-4级,36,小雨,南风,4-5级,21
6月21日,华北,赤峰,晴,西南风,3-4级,34,晴,东风,<3级,21
6月21日,华北,鄂尔多斯,多云,南风,4-5级,32,多云,西北风,3-4级,20
6月21日,华北,巴彦淖尔,阵雨,南风,<3级,34,晴,西风,<3级,21
6月21日,华北,锡林郭勒,晴,东北风,4-5级,35,小雨,东风,3-4级,20
6月21日,华北,呼伦贝尔,多云,西北风,3-4级,24,晴,东北风,<3级,11
6月21日,华北,兴安盟,阵雨,东北风,3-4级,26,小雨,东风,3-4级,17
6月21日,华北,阿拉善盟,雷阵雨,西北风,4-5级,29,小雨,西北风,3-4级,18
6月22日,华北,北京,晴,南风,3-4级,35,多云,东风,<3级,24
6月22日,华北,海淀,晴,南风,3-4级,36,多云,东南风,<3级,23
6月22日,华北,朝阳,晴,东南风,3-4级,35,多云,东南风,<3级,24
6月22日,华北,顺义,晴,南风,3-4级,35,多云,东南风,<3级,24
6月22日,华北,怀柔,晴,南风,3-4级,35,多云,南风,<3级,22
6月22日,华北,通州,晴,南风,3-4级,34,多云,东南风,3-4级,21
6月22日,华北,昌平,晴,南风,3-4级,36,多云,东南风,<3级,24
6月22日,华北,延庆,晴,东南风,3-4级,33,多云,东南风,<3级,22
6月22日,华北,丰台,晴,南风,3-4级,36,多云,东北风,<3级,24
6月22日,华北,石景山,晴,南风,3-4级,35,多云,东北风,<3级,23
6月22日,华北,大兴,晴,南风,3-4级,35,多云,东北风,<3级,23
6月22日,华北,房山,晴,南风,3-4级,35,多云,东北风,<3级,23
6月22日,华北,密云,晴,南风,3-4级,35,多云,东南风,<3级,21
6月22日,华北,门头沟,晴,南风,3-4级,35,多云,东北风,<3级,24
6月22日,华北,平谷,晴,南风,3-4级,35,多云,东风,<3级,23
6月22日,华北,东城,晴,东南风,3-4级,35,多云,东南风,<3级,24
6月22日,华北,西城,晴,南风,3-4级,36,多云,东南风,<3级,23
6月22日,华北,天津,晴,南风,3-4级,34,晴,东南风,<3级,25
6月22日,华北,武清,晴,南风,3-4级,34,晴,东南风,<3级,24
6月22日,华北,宝坻,晴,南风,3-4级,34,晴,东风,<3级,24
6月22日,华北,东丽,晴,东南风,3-4级,32,晴,东南风,<3级,25
6月22日,华北,西青,晴,南风,3-4级,34,晴,东南风,<3级,24
6月22日,华北,北辰,晴,南风,3-4级,34,晴,东南风,<3级,24
6月22日,华北,宁河,晴,南风,3-4级,30,晴,东南风,<3级,23
6月22日,华北,和平,晴,南风,3-4级,34,晴,东南风,<3级,25
6月22日,华北,静海,晴,南风,3-4级,34,晴,东南风,<3级,25
6月22日,华北,津南,晴,东南风,3-4级,33,晴,东南风,<3级,25
6月22日,华北,滨海新区,晴,东南风,3-4级,34,晴,南风,4-5级,23
6月22日,华北,河东,晴,南风,3-4级,34,晴,东南风,<3级,25
6月22日,华北,河西,晴,南风,3-4级,34,晴,东南风,<3级,25
6月22日,华北,蓟州,晴,南风,3-4级,34,晴,东风,<3级,23
6月22日,华北,南开,晴,南风,3-4级,34,晴,东南风,<3级,25
6月22日,华北,河北,晴,南风,3-4级,34,晴,东南风,<3级,25
6月22日,华北,红桥,晴,南风,3-4级,34,晴,东南风,<3级,25
6月22日,华北,石家庄,多云,南风,3-4级,34,多云,北风,<3级,24
6月22日,华北,保定,多云,南风,3-4级,34,多云,北风,<3级,22
6月22日,华北,张家口,多云,东南风,<3级,32,多云,东南风,3-4级,20
6月22日,华北,承德,多云,无持续风向,<3级,32,多云,无持续风向,<3级,17
6月22日,华北,唐山,多云,南风,3-4级,33,多云,东南风,<3级,22
6月22日,华北,廊坊,多云,南风,3-4级,35,多云,东南风,<3级,24
6月22日,华北,沧州,多云,东南风,3-4级,35,多云,东南风,3-4级,22
6月22日,华北,衡水,多云,南风,3-4级,35,多云,南风,<3级,24
6月22日,华北,邢台,多云,南风,3-4级,31,阴,南风,<3级,23
6月22日,华北,邯郸,多云,南风,<3级,30,多云,南风,<3级,21
6月22日,华北,秦皇岛,多云,南风,3-4级,27,多云,无持续风向,<3级,19
6月22日,华北,雄安新区,晴,南风,3-4级,34,晴,南风,<3级,24
6月22日,华北,太原,阴,东风,<3级,32,多云,东风,<3级,16
6月22日,华北,大同,小雨,南风,<3级,31,小雨,南风,<3级,18
6月22日,华北,阳泉,阴,东风,<3级,31,多云,东南风,<3级,18
6月22日,华北,晋中,阴,东风,3-4级,31,多云,东风,<3级,17
6月22日,华北,长治,阴,东南风,3-4级,27,阴,东北风,<3级,15
6月22日,华北,晋城,阴,东南风,<3级,27,阴,东北风,<3级,19
6月22日,华北,临汾,阴,南风,<3级,31,多云,南风,<3级,21
6月22日,华北,运城,阴,北风,<3级,27,阴,东风,<3级,20
6月22日,华北,朔州,小雨,东南风,<3级,32,小雨,南风,<3级,17
6月22日,华北,忻州,阴,东南风,3-4级,31,多云,东风,<3级,17
6月22日,华北,吕梁,多云,西南风,<3级,31,多云,南风,<3级,20
6月22日,华北,呼和浩特,阴,西南风,3-4级,31,中雨,东北风,<3级,17
6月22日,华北,包头,阴,西南风,<3级,31,小雨,南风,<3级,17
6月22日,华北,乌海,小雨,西南风,3-4级,28,小雨,西南风,3-4级,16
6月22日,华北,乌兰察布,小雨,南风,3-4级,30,小雨,南风,3-4级,15
6月22日,华北,通辽,中雨,东北风,3-4级,30,中雨,南风,3-4级,20
6月22日,华北,赤峰,多云,东风,<3级,31,小雨,东风,3-4级,19
6月22日,华北,鄂尔多斯,小雨,西北风,4-5级,29,小雨,北风,3-4级,15
6月22日,华北,巴彦淖尔,晴,西风,<3级,33,多云,西南风,<3级,20
6月22日,华北,锡林郭勒,小雨,东风,4-5级,33,小雨,东风,3-4级,17
6月22日,华北,呼伦贝尔,多云,东风,3-4级,21,多云,东风,<3级,12
6月22日,华北,兴安盟,小雨,东风,3-4级,24,中雨,东风,3-4级,16
6月22日,华北,阿拉善盟,小雨,西北风,3-4级,27,小雨,西北风,3-4级,14
6月23日,华北,北京,多云,东南风,<3级,33,阴,东南风,<3级,22
6月23日,华北,海淀,多云,东南风,<3级,34,阴,东南风,3-4级,22
6月23日,华北,朝阳,多云,东南风,<3级,32,阴,东南风,3-4级,23
6月23日,华北,顺义,多云,东南风,<3级,33,阴,东南风,3-4级,23
6月23日,华北,怀柔,多云,南风,<3级,33,阴,东南风,<3级,21
6月23日,华北,通州,多云,东南风,3-4级,32,阴,东南风,<3级,21
6月23日,华北,昌平,多云,东南风,<3级,33,阴,东南风,<3级,23
6月23日,华北,延庆,多云,东南风,<3级,30,阴,东南风,<3级,20
6月23日,华北,丰台,多云,东南风,<3级,33,阴,东南风,<3级,23
6月23日,华北,石景山,多云,东南风,<3级,33,阴,东南风,<3级,22
6月23日,华北,大兴,多云,东南风,<3级,33,阴,东南风,<3级,21
6月23日,华北,房山,多云,东南风,<3级,33,阴,东南风,<3级,21
6月23日,华北,密云,多云,南风,<3级,33,阴,东南风,<3级,20
6月23日,华北,门头沟,多云,东南风,<3级,32,阴,东南风,<3级,23
6月23日,华北,平谷,多云,东南风,<3级,33,阴,东南风,<3级,22
6月23日,华北,东城,多云,东南风,<3级,32,阴,东南风,3-4级,23
6月23日,华北,西城,多云,东南风,<3级,34,阴,东南风,3-4级,22
6月23日,华北,天津,多云,东风,3-4级,29,小雨,东北风,<3级,22
6月23日,华北,武清,多云,东南风,3-4级,30,小雨,东北风,<3级,20
6月23日,华北,宝坻,多云,东南风,3-4级,30,小雨,东北风,<3级,21
6月23日,华北,东丽,多云,东风,3-4级,29,小雨,东北风,<3级,22
6月23日,华北,西青,多云,东风,3-4级,31,小雨,东北风,<3级,21
6月23日,华北,北辰,多云,东南风,3-4级,31,小雨,东北风,<3级,21
6月23日,华北,宁河,多云,东南风,3-4级,29,小雨,东风,<3级,20
6月23日,华北,和平,多云,东风,3-4级,29,小雨,东北风,<3级,22
6月23日,华北,静海,多云,东风,3-4级,31,小雨,东北风,<3级,20
6月23日,华北,津南,多云,东风,3-4级,29,小雨,东北风,<3级,20
6月23日,华北,滨海新区,多云,东风,3-4级,28,小雨,东风,4-5级,21
6月23日,华北,河东,多云,东风,3-4级,29,小雨,东北风,<3级,22
6月23日,华北,河西,多云,东风,3-4级,29,小雨,东北风,<3级,22
6月23日,华北,蓟州,多云,东南风,<3级,30,小雨,东风,<3级,18
6月23日,华北,南开,多云,东风,3-4级,29,小雨,东北风,<3级,22
6月23日,华北,河北,多云,东风,3-4级,29,小雨,东北风,<3级,22
6月23日,华北,红桥,多云,东风,3-4级,29,小雨,东北风,<3级,22
6月23日,华北,石家庄,阴,南风,3-4级,32,雷阵雨,北风,<3级,21
6月23日,华北,保定,多云,东北风,<3级,32,阴,东北风,<3级,20
6月23日,华北,张家口,雷阵雨,东南风,<3级,28,雷阵雨,东南风,3-4级,16
6月23日,华北,承德,雷阵雨,无持续风向,<3级,28,雷阵雨,无持续风向,<3级,16
6月23日,华北,唐山,雷阵雨,东南风,<3级,28,暴雨,东北风,3-4级,19
6月23日,华北,廊坊,雷阵雨,东南风,3-4级,31,雷阵雨,东北风,<3级,20
6月23日,华北,沧州,阴,东风,3-4级,30,雷阵雨,东北风,3-4级,21
6月23日,华北,衡水,阴,南风,<3级,29,阴,北风,<3级,21
6月23日,华北,邢台,雷阵雨,北风,<3级,28,雷阵雨,北风,3-4级,23
6月23日,华北,邯郸,阴,北风,<3级,26,雷阵雨,北风,3-4级,20
6月23日,华北,秦皇岛,雷阵雨,无持续风向,<3级,24,中雨,无持续风向,<3级,19
6月23日,华北,雄安新区,多云,东北风,3-4级,32,雷阵雨,北风,3-4级,21
6月23日,华北,太原,阴,东风,<3级,24,小雨,东风,<3级,12
6月23日,华北,大同,小雨,西风,3-4级,28,小雨,南风,<3级,11
6月23日,华北,阳泉,阴,东风,<3级,22,小雨,东北风,<3级,15
6月23日,华北,晋中,阴,东南风,3-4级,28,小雨,北风,3-4级,15
6月23日,华北,长治,阴,北风,3-4级,25,小雨,南风,3-4级,15
6月23日,华北,晋城,阴,东北风,<3级,23,小雨,西风,<3级,19
6月23日,华北,临汾,阴,东南风,<3级,28,小雨,西风,<3级,22
6月23日,华北,运城,多云,西风,<3级,29,小雨,南风,<3级,17
6月23日,华北,朔州,小雨,西南风,<3级,24,小雨,南风,<3级,13
6月23日,华北,忻州,阴,东南风,<3级,25,小雨,东南风,<3级,17
6月23日,华北,吕梁,小雨,北风,<3级,29,小雨,北风,<3级,15
6月23日,华北,呼和浩特,中雨,东北风,<3级,21,多云,西风,<3级,12
6月23日,华北,包头,小雨,南风,<3级,23,晴,北风,<3级,14
6月23日,华北,乌海,晴,西南风,3-4级,29,晴,北风,3-4级,13
6月23日,华北,乌兰察布,小雨,南风,3-4级,23,小雨,西南风,3-4级,12
6月23日,华北,通辽,小雨,南风,3-4级,25,小雨,南风,3-4级,17
6月23日,华北,赤峰,小雨,东风,3-4级,30,中雨,东南风,3-4级,14
6月23日,华北,鄂尔多斯,小雨,西北风,3-4级,19,晴,西风,3-4级,13
6月23日,华北,巴彦淖尔,晴,西南风,<3级,32,晴,西北风,<3级,16
6月23日,华北,锡林郭勒,中雨,东风,4-5级,23,中雨,东风,3-4级,15
6月23日,华北,呼伦贝尔,阵雨,东南风,3-4级,23,多云,东风,3-4级,14
6月23日,华北,兴安盟,小雨,东北风,3-4级,23,小雨,东风,3-4级,16
6月23日,华北,阿拉善盟,晴,西北风,3-4级,26,晴,西北风,3-4级,15
6月24日,华北,北京,雷阵雨,北风,<3级,26,多云,北风,<3级,19
6月24日,华北,海淀,雷阵雨,北风,<3级,26,多云,西北风,<3级,19
6月24日,华北,朝阳,雷阵雨,北风,<3级,24,多云,西北风,<3级,19
6月24日,华北,顺义,雷阵雨,北风,<3级,23,多云,西风,<3级,19
6月24日,华北,怀柔,雷阵雨,东北风,<3级,24,多云,北风,<3级,17
6月24日,华北,通州,雷阵雨,北风,<3级,25,多云,西北风,<3级,16
6月24日,华北,昌平,雷阵雨,东风,<3级,26,多云,西北风,<3级,18
6月24日,华北,延庆,雷阵雨,东南风,<3级,23,多云,东南风,<3级,16
6月24日,华北,丰台,雷阵雨,北风,<3级,26,多云,西北风,<3级,19
6月24日,华北,石景山,雷阵雨,北风,<3级,25,多云,西北风,<3级,19
6月24日,华北,大兴,雷阵雨,北风,<3级,25,多云,北风,<3级,18
6月24日,华北,房山,雷阵雨,北风,<3级,26,多云,西南风,<3级,17
6月24日,华北,密云,雷阵雨,北风,<3级,23,多云,北风,<3级,17
6月24日,华北,门头沟,雷阵雨,东北风,<3级,27,多云,西北风,<3级,19
6月24日,华北,平谷,雷阵雨,东风,<3级,25,多云,西北风,<3级,16
6月24日,华北,东城,雷阵雨,北风,<3级,24,多云,西北风,<3级,19
6月24日,华北,西城,雷阵雨,北风,<3级,26,多云,西北风,<3级,19
6月24日,华北,天津,小到中雨,东北风,<3级,26,阴,西南风,<3级,21
